message_id,user_id,server_id,channel_id,sent_ts,char_count
m_000000000,u_000128,s_00142,c_001047,2025-01-22 18:43:53,279
m_000000001,u_000586,s_00090,c_000082,2025-02-01 17:42:33,166
m_000000002,u_000239,s_00069,c_000853,2025-01-12 20:51:23,39
m_000000003,u_000894,s_00093,c_000688,2025-01-26 19:20:42,118
m_000000004,u_001280,s_00076,c_000951,2025-02-04 10:28:33,252
m_000000005,u_001296,s_00035,c_000376,2025-01-03 23:15:34,86
m_000000006,u_001854,s_00057,c_000140,2025-02-08 21:26:07,238
m_000000007,u_000234,s_00045,c_000588,2025-02-18 14:33:28,234
m_000000008,u_000782,s_00143,c_000894,2025-02-16 19:15:50,273
m_000000009,u_001038,s_00050,c_000680,2025-01-18 18:29:36,189
m_000000010,u_000164,s_00139,c_000102,2025-02-12 16:13:32,191
m_000000011,u_000211,s_00126,c_000765,2025-02-24 22:28:27,27
m_000000012,u_000606,s_00117,c_000480,2025-01-19 23:40:56,77
m_000000013,u_001713,s_00100,c_000877,2025-01-15 18:37:59,131
m_000000014,u_001164,s_00031,c_001117,2025-02-28 18:15:22,81
m_000000015,u_001117,s_00123,c_001028,2025-02-09 16:24:27,177
m_000000016,u_001094,s_00096,c_001199,2025-01-06 11:37:17,210
m_000000017,u_001613,s_00042,c_000727,2025-01-28 21:39:39,242
m_000000018,u_001080,s_00085,c_000867,2025-02-24 23:40:49,248
m_000000019,u_001430,s_00013,c_000126,2025-01-02 19:11:52,246
m_000000020,u_000605,s_00035,c_000208,2025-02-21 19:08:23,191
m_000000021,u_001623,s_00047,c_000163,2025-02-06 19:52:10,6
m_000000022,u_000062,s_00052,c_000876,2025-02-06 17:30:21,107
m_000000023,u_000672,s_00029,c_000736,2025-01-02 15:47:37,99
m_000000024,u_000491,s_00043,c_001103,2025-02-14 23:13:41,193
m_000000025,u_000266,s_00001,c_000850,2025-01-04 21:23:48,236
m_000000026,u_001066,s_00085,c_001048,2025-01-22 22:26:31,186
m_000000027,u_001773,s_00017,c_000904,2025-02-09 23:35:24,215
m_000000028,u_000310,s_00072,c_000754,2025-02-26 20:34:22,72
m_000000029,u_001759,s_00075,c_000622,2025-01-30 16:28:36,72
m_000000030,u_001709,s_00084,c_000162,2025-02-10 15:23:40,81
m_000000031,u_001757,s_00114,c_000720,2025-02-22 23:22:51,135
m_000000032,u_000010,s_00129,c_000634,2025-02-22 23:30:33,25
m_000000033,u_001973,s_00060,c_001169,2025-01-28 19:47:35,124
m_000000034,u_000841,s_00143,c_001091,2025-02-21 17:54:21,104
m_000000035,u_001185,s_00113,c_000417,2025-03-01 18:39:44,230
