server_join_id,user_id,server_id,joined_ts
j_00000000,u_000000,s_00065,2025-02-10 23:11:06
j_00000001,u_000000,s_00139,2025-01-29 20:36:18
j_00000002,u_000000,s_00020,2025-02-17 17:13:50
j_00000003,u_000000,s_00117,2025-01-04 19:35:08
j_00000004,u_000001,s_00144,2025-02-16 16:01:44
j_00000005,u_000001,s_00034,2025-01-14 23:29:06
j_00000006,u_000001,s_00027,2025-02-22 22:34:20
j_00000007,u_000001,s_00119,2025-01-22 20:03:31
j_00000008,u_000001,s_00013,2025-01-01 19:12:07
j_00000009,u_000001,s_00002,2025-01-30 17:59:23
j_00000010,u_000002,s_00087,2025-01-04 11:37:16
j_00000011,u_000002,s_00093,2025-01-17 14:27:02
j_00000012,u_000002,s_00109,2025-02-13 17:13:00
j_00000013,u_000002,s_00104,2025-02-03 16:07:08
j_00000014,u_000002,s_00111,2025-02-12 21:25:44
j_00000015,u_000003,s_00094,2025-02-22 23:32:02
j_00000016,u_000003,s_00041,2025-01-29 19:10:30
j_00000017,u_000003,s_00084,2025-02-02 23:48:01
j_00000018,u_000003,s_00064,2025-01-04 16:25:12
j_00000019,u_000004,s_00132,2025-01-18 19:03:10
j_00000020,u_000004,s_00147,2025-02-13 19:08:20
j_00000021,u_000004,s_00044,2025-01-04 23:51:44
j_00000022,u_000004,s_00015,2025-01-22 20:20:25
j_00000023,u_000004,s_00038,2025-01-09 20:22:00
j_00000024,u_000004,s_00069,2025-02-21 13:11:08
j_00000025,u_000005,s_00082,2025-02-03 16:48:18
j_00000026,u_000005,s_00030,2025-02-08 23:48:16
j_00000027,u_000006,s_00097,2025-02-11 11:14:33
j_00000028,u_000006,s_00070,2025-01-14 23:43:21
j_00000029,u_000006,s_00009,2025-01-03 21:27:44
j_00000030,u_000006,s_00101,2025-01-24 17:10:15
j_00000031,u_000006,s_00119,2025-01-12 16:47:40
j_00000032,u_000006,s_00013,2025-01-20 23:04:06
j_00000033,u_000007,s_00149,2025-01-20 23:52:59
j_00000034,u_000007,s_00110,2025-02-16 19:01:59
j_00000035,u_000007,s_00086,2025-01-20 20:19:16
j_00000036,u_000007,s_00130,2025-01-10 17:13:14
