server_id,created_ts,owner_user_id,category
s_00000,2025-02-08 00:00:00,u_001628,creator
s_00001,2025-02-12 00:00:00,u_000813,esports
s_00002,2025-01-17 00:00:00,u_000874,community
s_00003,2025-01-22 00:00:00,u_001298,study
s_00004,2025-02-26 00:00:00,u_000870,esports
s_00005,2025-02-21 00:00:00,u_001147,community
s_00006,2025-01-25 00:00:00,u_000116,community
s_00007,2025-01-15 00:00:00,u_000312,community
s_00008,2025-01-19 00:00:00,u_001864,music
s_00009,2025-02-02 00:00:00,u_000901,study
s_00010,2025-02-04 00:00:00,u_000334,gaming
s_00011,2025-01-12 00:00:00,u_000738,gaming
s_00012,2025-01-04 00:00:00,u_000669,community
s_00013,2025-01-30 00:00:00,u_000548,creator
s_00014,2025-02-17 00:00:00,u_000587,gaming
s_00015,2025-01-10 00:00:00,u_001458,gaming
s_00016,2025-01-25 00:00:00,u_000213,music
s_00017,2025-01-10 00:00:00,u_000619,community
s_00018,2025-01-15 00:00:00,u_000935,esports
s_00019,2025-02-06 00:00:00,u_001080,esports
s_00020,2025-01-18 00:00:00,u_001761,study
s_00021,2025-01-16 00:00:00,u_001846,study
s_00022,2025-03-01 00:00:00,u_000594,study
s_00023,2025-01-11 00:00:00,u_001078,esports
s_00024,2025-01-12 00:00:00,u_000044,study
s_00025,2025-02-25 00:00:00,u_001234,creator
s_00026,2025-02-03 00:00:00,u_000305,esports
s_00027,2025-01-03 00:00:00,u_000146,community
s_00028,2025-01-26 00:00:00,u_001343,gaming
s_00029,2025-02-03 00:00:00,u_000356,study
s_00030,2025-01-16 00:00:00,u_000954,gaming
s_00031,2025-02-02 00:00:00,u_000201,esports
s_00032,2025-02-08 00:00:00,u_001491,music
s_00033,2025-01-16 00:00:00,u_001529,gaming
s_00034,2025-02-18 00:00:00,u_001149,creator
s_00035,2025-01-28 00:00:00,u_001671,community
s_00036,2025-02-27 00:00:00,u_000873,community
s_00037,2025-01-06 00:00:00,u_000372,study
s_00038,2025-01-20 00:00:00,u_000302,study
s_00039,2025-02-13 00:00:00,u_000438,community
s_00040,2025-02-23 00:00:00,u_000400,creator
s_00041,2025-01-14 00:00:00,u_000646,creator
s_00042,2025-02-28 00:00:00,u_000428,esports
s_00043,2025-01-12 00:00:00,u_001182,music
s_00044,2025-01-25 00:00:00,u_000296,esports
s_00045,2025-01-19 00:00:00,u_001243,creator
s_00046,2025-01-26 00:00:00,u_000668,esports
s_00047,2025-02-24 00:00:00,u_001373,esports
s_00048,2025-02-13 00:00:00,u_001025,music
s_00049,2025-02-17 00:00:00,u_001810,music
s_00050,2025-01-16 00:00:00,u_000879,gaming
s_00051,2025-02-26 00:00:00,u_000590,study
s_00052,2025-01-27 00:00:00,u_001178,community
s_00053,2025-02-09 00:00:00,u_001317,study
s_00054,2025-02-11 00:00:00,u_000878,study
s_00055,2025-02-09 00:00:00,u_001119,creator
s_00056,2025-02-06 00:00:00,u_000941,creator
s_00057,2025-01-29 00:00:00,u_000611,study
s_00058,2025-02-08 00:00:00,u_000627,music
s_00059,2025-02-24 00:00:00,u_001814,creator
s_00060,2025-01-24 00:00:00,u_001350,esports
s_00061,2025-01-31 00:00:00,u_000190,music
s_00062,2025-01-11 00:00:00,u_001924,music
s_00063,2025-01-22 00:00:00,u_001424,gaming
s_00064,2025-02-16 00:00:00,u_000100,creator
s_00065,2025-02-08 00:00:00,u_001455,music
s_00066,2025-01-13 00:00:00,u_001179,community
s_00067,2025-02-02 00:00:00,u_001830,community
s_00068,2025-02-18 00:00:00,u_000978,community
s_00069,2025-01-08 00:00:00,u_001037,creator
s_00070,2025-01-04 00:00:00,u_000629,creator
s_00071,2025-01-24 00:00:00,u_000643,music
s_00072,2025-02-09 00:00:00,u_001235,study
s_00073,2025-01-19 00:00:00,u_001655,gaming
s_00074,2025-02-19 00:00:00,u_001781,creator
s_00075,2025-02-20 00:00:00,u_001541,gaming
s_00076,2025-02-01 00:00:00,u_001219,esports
s_00077,2025-01-23 00:00:00,u_001000,gaming
s_00078,2025-01-03 00:00:00,u_000679,creator
s_00079,2025-02-19 00:00:00,u_001535,community
s_00080,2025-02-23 00:00:00,u_000636,esports
s_00081,2025-01-27 00:00:00,u_000535,gaming
s_00082,2025-01-31 00:00:00,u_001735,community
s_00083,2025-02-15 00:00:00,u_001179,music
