voice_session_id,user_id,server_id,started_ts,ended_ts
v_000000000,u_001921,s_00067,2025-02-04 14:39:02,2025-02-04 14:51:02
v_000000001,u_001777,s_00088,2025-01-01 20:06:07,2025-01-01 20:45:07
v_000000002,u_000358,s_00101,2025-02-21 14:21:54,2025-02-21 15:21:54
v_000000003,u_001211,s_00039,2025-02-07 18:06:51,2025-02-07 18:18:51
v_000000004,u_000921,s_00134,2025-01-07 22:37:56,2025-01-07 22:43:56
v_000000005,u_001348,s_00134,2025-02-04 20:52:29,2025-02-04 20:59:29
v_000000006,u_000268,s_00128,2025-02-12 21:34:24,2025-02-12 22:10:24
v_000000007,u_000987,s_00053,2025-02-11 16:50:54,2025-02-11 16:57:54
v_000000008,u_000601,s_00130,2025-02-17 18:08:20,2025-02-17 18:27:20
v_000000009,u_001431,s_00098,2025-02-15 20:07:08,2025-02-15 20:13:08
v_000000010,u_000604,s_00073,2025-01-05 20:48:38,2025-01-05 20:51:38
v_000000011,u_000547,s_00099,2025-02-06 22:02:22,2025-02-06 22:08:22
v_000000012,u_000451,s_00075,2025-02-06 19:26:27,2025-02-06 19:31:27
v_000000013,u_000501,s_00097,2025-01-31 12:27:20,2025-01-31 12:46:20
v_000000014,u_000915,s_00087,2025-01-06 23:22:07,2025-01-06 23:37:07
v_000000015,u_001389,s_00044,2025-01-10 21:49:44,2025-01-10 21:53:44
v_000000016,u_001743,s_00054,2025-02-20 23:17:39,2025-02-20 23:46:39
v_000000017,u_000947,s_00115,2025-02-12 19:59:51,2025-02-12 20:34:51
v_000000018,u_000605,s_00069,2025-01-31 16:19:32,2025-01-31 16:31:32
v_000000019,u_001155,s_00114,2025-01-18 21:55:26,2025-01-18 22:09:26
v_000000020,u_000270,s_00076,2025-01-23 23:56:17,2025-01-24 00:01:17
v_000000021,u_001616,s_00007,2025-01-22 23:58:29,2025-01-23 00:01:29
v_000000022,u_000452,s_00044,2025-02-09 17:30:48,2025-02-09 17:43:48
v_000000023,u_000169,s_00133,2025-02-27 23:04:31,2025-02-27 23:55:31
v_000000024,u_001273,s_00018,2025-01-29 19:53:28,2025-01-29 20:08:28
v_000000025,u_001357,s_00058,2025-02-03 23:36:58,2025-02-03 23:54:58
v_000000026,u_000986,s_00004,2025-01-21 19:28:34,2025-01-21 19:29:34
v_000000027,u_000954,s_00036,2025-01-31 13:56:32,2025-01-31 14:21:32
v_000000028,u_001488,s_00049,2025-01-10 23:13:52,2025-01-11 00:00:52
v_000000029,u_001116,s_00085,2025-03-01 15:05:15,2025-03-01 15:06:15
v_000000030,u_001539,s_00063,2025-01-29 13:01:37,2025-01-29 13:15:37
v_000000031,u_000719,s_00062,2025-01-31 21:01:57,2025-01-31 21:16:57
v_000000032,u_001457,s_00056,2025-01-21 15:18:42,2025-01-21 15:27:42
v_000000033,u_001296,s_00068,2025-02-25 17:56:43,2025-02-25 18:08:43
v_000000034,u_000009,s_00096,2025-01-03 23:01:28,2025-01-03 23:24:28
v_000000035,u_001184,s_00126,2025-02-13 22:21:28,2025-02-13 22:36:28
v_000000036,u_000012,s_00061,2025-01-30 23:52:46,2025-01-31 00:02:46
v_000000037,u_000755,s_00042,2025-01-08 21:27:36,2025-01-08 21:42:36
v_000000038,u_001395,s_00040,2025-01-11 23:03:51,2025-01-11 23:17:51
v_000000039,u_001714,s_00075,2025-02-02 18:52:45,2025-02-02 19:10:45
v_000000040,u_000638,s_00060,2025-01-07 15:45:14,2025-01-07 15:55:14
v_000000041,u_001323,s_00054,2025-01-25 19:52:15,2025-01-25 19:54:15
v_000000042,u_000150,s_00048,2025-02-23 23:49:03,2025-02-24 00:45:03
v_000000043,u_000343,s_00140,2025-02-11 18:26:09,2025-02-11 18:27:09
v_000000044,u_000830,s_00035,2025-02-24 23:13:41,2025-02-24 23:52:41
v_000000045,u_000782,s_00046,2025-02-18 14:15:16,2025-02-18 14:20:16
v_000000046,u_001321,s_00144,2025-02-07 23:09:29,2025-02-07 23:10:29
v_000000047,u_000210,s_00078,2025-02-10 20:31:52,2025-02-10 20:48:52
v_000000048,u_000273,s_00008,2025-01-24 21:00:35,2025-01-24 21:04:35
v_000000049,u_000424,s_00100,2025-01-18 13:08:59,2025-01-18 13:17:59
v_000000050,u_000800,s_00069,2025-02-15 21:36:44,2025-02-15 21:44:44
v_000000051,u_000307,s_00045,2025-02-17 19:45:32,2025-02-17 20:26:32
v_000000052,u_000971,s_00022,2025-01-30 12:44:43,2025-01-30 12:49:43
v_000000053,u_001843,s_00101,2025-01-27 21:04:04,2025-01-27 21:16:04
v_000000054,u_001514,s_00121,2025-02-12 21:10:47,2025-02-12 22:02:47
v_000000055,u_001499,s_00017,2025-02-07 17:50:53,2025-02-07 17:51:53
v_000000056,u_000866,s_00080,2025-01-12 21:55:46,2025-01-12 22:27:46
v_000000057,u_000085,s_00089,2025-01-25 13:12:29,2025-01-25 13:37:29
v_000000058,u_000870,s_00053,2025-02-26 23:41:33,2025-02-27 00:16:33
v_000000059,u_000584,s_00143,2025-01-04 14:16:01,2025-01-04 15:10:01
v_000000060,u_000033,s_00044,2025-01-18 22:53:16,2025-01-18 23:28:16
v_000000061,u_001939,s_00131,2025-02-01 23:37:44,2025-02-01 23:45:44
v_000000062,u_000794,s_00125,2025-01-08 13:26:11,2025-01-08 13:30:11
v_000000063,u_000528,s_00067,2025-02-13 21:07:12,2025-02-13 21:28:12
v_000000064,u_000323,s_00056,2025-02-10 21:28:57,2025-02-10 21:48:57
v_000000065,u_001059,s_00099,2025-02-09 23:53:23,2025-02-10 00:02:23
v_000000066,u_000176,s_00077,2025-02-05 23:35:51,2025-02-05 23:48:51
v_000000067,u_000840,s_00111,2025-01-08 23:58:19,2025-01-09 00:32:19
v_000000068,u_000573,s_00011,2025-01-06 20:34:34,2025-01-06 20:36:34
v_000000069,u_001759,s_00075,2025-01-19 15:50:04,2025-01-19 15:56:04
v_000000070,u_001550,s_00116,2025-02-01 19:42:21,2025-02-01 19:59:21
v_000000071,u_000844,s_00037,2025-01-27 16:31:55,2025-01-27 16:35:55
v_000000072,u_001202,s_00072,2025-01-15 23:45:21,2025-01-15 23:46:21
v_000000073,u_001202,s_00050,2025-02-24 23:37:03,2025-02-25 01:03:03
v_000000074,u_000166,s_00113,2025-02-11 21:54:36,2025-02-11 22:23:36
v_000000075,u_000878,s_00141,2025-01-12 16:18:10,2025-01-12 16:53:10
v_000000076,u_001847,s_00111,2025-02-16 23:32:30,2025-02-16 23:36:30
v_000000077,u_001758,s_00021,2025-03-01 10:38:35,2025-03-01 10:44:35
v_000000078,u_001503,s_00007,2025-01-04 20:09:20,2025-01-04 20:46:20
v_000000079,u_000006,s_00070,2025-02-01 16:58:02,2025-02-01 17:29:02
v_000000080,u_001791,s_00033,2025-01-14 23:44:21,2025-01-15 00:40:21
v_000000081,u_000420,s_00043,2025-01-21 23:05:24,2025-01-21 23:14:24
v_000000082,u_001226,s_00106,2025-02-22 23:38:43,2025-02-22 23:47:43
v_000000083,u_001538,s_00035,2025-01-11 17:12:54,2025-01-11 17:14:54
v_000000084,u_000603,s_00040,2025-02-17 19:08:00,2025-02-17 19:38:00
v_000000085,u_000836,s_00130,2025-01-19 17:46:11,2025-01-19 18:40:11
v_000000086,u_000115,s_00135,2025-01-21 23:01:03,2025-01-21 23:30:03
v_000000087,u_000914,s_00049,2025-01-11 18:09:44,2025-01-11 19:15:44
v_000000088,u_001730,s_00074,2025-02-11 20:57:09,2025-02-11 21:59:09
v_000000089,u_001072,s_00076,2025-02-03 13:48:21,2025-02-03 14:01:21
v_000000090,u_001564,s_00035,2025-02-01 20:48:06,2025-02-01 21:04:06
v_000000091,u_000277,s_00069,2025-02-17 18:40:29,2025-02-17 18:48:29
v_000000092,u_000941,s_00037,2025-01-21 23:58:43,2025-01-22 00:02:43
v_000000093,u_000254,s_00062,2025-02-23 21:28:20,2025-02-23 21:41:20
v_000000094,u_001258,s_00091,2025-03-01 13:48:06,2025-03-01 14:07:06
v_000000095,u_001079,s_00049,2025-01-11 21:07:05,2025-01-11 21:09:05
v_000000096,u_000461,s_00137,2025-01-10 15:51:05,2025-01-10 16:31:05
v_000000097,u_000441,s_00000,2025-02-21 23:34:26,2025-02-22 00:36:26
v_000000098,u_001354,s_00124,2025-02-28 19:07:34,2025-02-28 20:03:34
v_000000099,u_001826,s_00123,2025-01-02 10:43:56,2025-01-02 10:58:56
v_000000100,u_000262,s_00019,2025-01-31 22:46:48,2025-01-31 22:47:48
v_000000101,u_001173,s_00035,2025-02-20 17:42:41,2025-02-20 18:45:41
v_000000102,u_001012,s_00148,2025-02-14 23:21:47,2025-02-14 23:38:47
v_000000103,u_001957,s_00018,2025-01-11 23:59:18,2025-01-12 00:03:18
v_000000104,u_001301,s_00128,2025-01-15 14:25:55,2025-01-15 14:31:55
v_000000105,u_001870,s_00136,2025-02-11 19:36:35,2025-02-11 19:54:35
v_000000106,u_001483,s_00139,2025-02-12 12:02:22,2025-02-12 12:09:22
v_000000107,u_001671,s_00008,2025-01-05 16:33:10,2025-01-05 17:48:10
v_000000108,u_000122,s_00023,2025-02-10 23:41:01,2025-02-11 00:12:01
v_000000109,u_001057,s_00114,2025-01-27 16:15:44,2025-01-27 16:21:44
v_000000110,u_001202,s_00108,2025-01-21 17:07:23,2025-01-21 17:14:23
v_000000111,u_000848,s_00013,2025-02-15 16:21:53,2025-02-15 16:26:53
v_000000112,u_000932,s_00097,2025-03-01 18:33:03,2025-03-01 18:41:03
v_000000113,u_000363,s_00103,2025-02-03 23:44:12,2025-02-03 23:57:12
v_000000114,u_000717,s_00107,2025-01-08 22:53:25,2025-01-08 23:26:25
v_000000115,u_000910,s_00100,2025-02-23 15:02:20,2025-02-23 15:03:20
v_000000116,u_001075,s_00023,2025-02-22 23:30:16,2025-02-22 23:36:16
v_000000117,u_001831,s_00115,2025-02-04 13:34:38,2025-02-04 13:35:38
v_000000118,u_000985,s_00008,2025-03-01 19:12:28,2025-03-01 20:05:28
v_000000119,u_001333,s_00073,2025-02-23 16:07:57,2025-02-23 16:11:57
v_000000120,u_000017,s_00127,2025-01-13 15:06:26,2025-01-13 16:29:26
v_000000121,u_000414,s_00117,2025-02-08 21:40:56,2025-02-08 22:54:56
v_000000122,u_001002,s_00037,2025-01-28 21:24:30,2025-01-28 21:31:30
v_000000123,u_001191,s_00121,2025-02-17 23:12:22,2025-02-17 23:13:22
v_000000124,u_000530,s_00132,2025-01-22 23:58:42,2025-01-22 23:59:42
v_000000125,u_001768,s_00028,2025-01-19 23:56:45,2025-01-19 23:57:45
v_000000126,u_001631,s_00132,2025-01-29 16:40:47,2025-01-29 16:45:47
v_000000127,u_000989,s_00059,2025-01-12 20:11:41,2025-01-12 20:21:41
v_000000128,u_001798,s_00077,2025-02-04 20:14:10,2025-02-04 21:10:10
v_000000129,u_001188,s_00057,2025-02-02 14:05:54,2025-02-02 14:20:54
v_000000130,u_000777,s_00017,2025-01-25 19:05:52,2025-01-25 19:12:52
v_000000131,u_001415,s_00122,2025-01-31 16:01:33,2025-01-31 16:54:33
v_000000132,u_000887,s_00102,2025-01-02 22:53:15,2025-01-02 23:01:15
v_000000133,u_000200,s_00110,2025-01-17 18:13:37,2025-01-17 18:16:37
v_000000134,u_001299,s_00068,2025-02-13 18:51:30,2025-02-13 19:23:30
v_000000135,u_001233,s_00008,2025-01-22 09:20:46,2025-01-22 09:38:46
v_000000136,u_000723,s_00052,2025-01-15 21:56:31,2025-01-15 21:57:31
v_000000137,u_000584,s_00073,2025-01-20 16:29:58,2025-01-20 16:52:58
v_000000138,u_001357,s_00146,2025-01-21 21:44:50,2025-01-21 22:12:50
v_000000139,u_001659,s_00103,2025-02-13 21:44:58,2025-02-13 21:51:58
v_000000140,u_001094,s_00119,2025-02-19 21:15:33,2025-02-19 21:35:33
v_000000141,u_000605,s_00069,2025-02-04 20:46:40,2025-02-04 21:33:40
v_000000142,u_001945,s_00063,2025-01-04 20:42:12,2025-01-04 20:51:12
v_000000143,u_001041,s_00084,2025-01-30 20:30:39,2025-01-30 21:14:39
v_000000144,u_000742,s_00018,2025-02-25 16:13:06,2025-02-25 16:55:06
v_000000145,u_000485,s_00060,2025-01-11 17:14:42,2025-01-11 17:31:42
v_000000146,u_000552,s_00049,2025-02-11 15:12:24,2025-02-11 15:20:24
v_000000147,u_001985,s_00037,2025-02-25 20:46:30,2025-02-25 21:16:30
v_000000148,u_000002,s_00104,2025-01-26 19:30:27,2025-01-26 19:39:27
v_000000149,u_001108,s_00126,2025-01-15 19:25:47,2025-01-15 20:09:47
v_000000150,u_000340,s_00136,2025-02-16 23:30:44,2025-02-16 23:31:44
v_000000151,u_000185,s_00100,2025-01-28 18:05:57,2025-01-28 18:32:57
v_000000152,u_001890,s_00096,2025-01-25 16:49:30,2025-01-25 17:41:30
v_000000153,u_001275,s_00050,2025-01-27 23:00:28,2025-01-27 23:13:28
v_000000154,u_000062,s_00146,2025-02-23 21:36:12,2025-02-23 22:22:12
v_000000155,u_000371,s_00113,2025-01-03 18:04:08,2025-01-03 18:27:08
v_000000156,u_000015,s_00111,2025-02-05 23:55:31,2025-02-06 00:02:31
v_000000157,u_000276,s_00090,2025-01-01 23:17:45,2025-01-01 23:56:45
v_000000158,u_000547,s_00063,2025-01-29 23:55:50,2025-01-29 23:56:50
v_000000159,u_000210,s_00075,2025-02-21 23:17:37,2025-02-21 23:18:37
v_000000160,u_001121,s_00038,2025-01-19 20:53:44,2025-01-19 21:05:44
v_000000161,u_001496,s_00073,2025-02-25 12:36:44,2025-02-25 13:00:44
v_000000162,u_000656,s_00056,2025-02-28 21:00:47,2025-02-28 21:04:47
v_000000163,u_000032,s_00039,2025-02-09 23:43:51,2025-02-10 00:22:51
v_000000164,u_000780,s_00089,2025-01-14 23:15:16,2025-01-15 00:15:16
v_000000165,u_001355,s_00096,2025-01-23 23:26:13,2025-01-23 23:30:13
v_000000166,u_001774,s_00122,2025-01-03 12:27:33,2025-01-03 12:43:33
v_000000167,u_001807,s_00146,2025-02-20 10:48:48,2025-02-20 11:53:48
v_000000168,u_000953,s_00033,2025-02-12 23:50:57,2025-02-12 23:53:57
v_000000169,u_001844,s_00052,2025-01-22 17:22:50,2025-01-22 17:30:50
v_000000170,u_000242,s_00006,2025-02-09 16:51:43,2025-02-09 17:08:43
v_000000171,u_001553,s_00103,2025-02-01 10:18:49,2025-02-01 10:42:49
v_000000172,u_000139,s_00085,2025-02-17 23:48:25,2025-02-18 00:01:25
v_000000173,u_001809,s_00017,2025-02-11 20:37:52,2025-02-11 21:02:52
v_000000174,u_000418,s_00006,2025-01-09 23:54:11,2025-01-10 01:20:11
v_000000175,u_000243,s_00144,2025-02-25 16:13:04,2025-02-25 16:17:04
v_000000176,u_000032,s_00104,2025-01-25 23:50:29,2025-01-26 00:36:29
v_000000177,u_001457,s_00141,2025-01-09 17:22:01,2025-01-09 17:43:01
v_000000178,u_001744,s_00122,2025-02-24 21:42:00,2025-02-24 21:52:00
v_000000179,u_001563,s_00020,2025-01-26 22:26:27,2025-01-26 22:28:27
v_000000180,u_000734,s_00106,2025-01-05 16:47:23,2025-01-05 16:59:23
v_000000181,u_001191,s_00121,2025-01-18 14:24:53,2025-01-18 14:27:53
v_000000182,u_000530,s_00132,2025-01-12 17:57:21,2025-01-12 18:24:21
v_000000183,u_000637,s_00143,2025-02-19 19:50:34,2025-02-19 19:53:34
v_000000184,u_001233,s_00122,2025-01-30 20:08:43,2025-01-30 20:21:43
v_000000185,u_000084,s_00127,2025-02-25 18:31:40,2025-02-25 18:33:40
v_000000186,u_001916,s_00003,2025-01-09 14:59:30,2025-01-09 15:18:30
v_000000187,u_000749,s_00056,2025-02-24 16:04:03,2025-02-24 16:47:03
v_000000188,u_000853,s_00100,2025-01-06 20:13:13,2025-01-06 21:36:13
v_000000189,u_001221,s_00010,2025-02-12 18:40:11,2025-02-12 19:04:11
v_000000190,u_001776,s_00070,2025-01-09 19:57:44,2025-01-09 19:58:44
v_000000191,u_000245,s_00009,2025-01-27 17:59:22,2025-01-27 18:36:22
v_000000192,u_001942,s_00133,2025-02-23 21:46:18,2025-02-23 21:53:18
v_000000193,u_000123,s_00062,2025-02-08 19:56:18,2025-02-08 20:07:18
v_000000194,u_000644,s_00129,2025-02-22 16:21:09,2025-02-22 16:27:09
v_000000195,u_000909,s_00101,2025-01-18 16:59:40,2025-01-18 17:40:40
v_000000196,u_000241,s_00073,2025-02-01 20:20:01,2025-02-01 21:23:01
